long_name,short_name,state,fines,standard_loan_weeks,ILS,
Balranald Library,BALRANALD,nsw,yes,2,?,
Christmas Island Shire Council,Christmas Island,ot,,4,?,
Cocos Keeling Islands Shire Council,Cocos (Keeling) Islands,ot,,3,?,
Bayside Library,BAYSIDE_NSW,nsw,yes,3,AIT Aurora,
Hawkesbury City Council Library Service,HAWKESBURY,nsw,no,3,AIT Aurora,
Inverell Shire Public Library,INVERELL,nsw,yes,3,AIT Aurora,
Lane Cove Library,LANE COVE,nsw,adults,3,AIT Aurora,
Mosman Library,MOSMAN,nsw,yes,3,AIT Aurora,
Singleton Public Library,SINGLETON,nsw,yes,3,AIT Aurora,
Stanton Library,STANTON,nsw,yes,3,AIT Aurora,
"Upper Hunter Regional Library
(Upper Hunter Library Network)",UPPER HUNTER,nsw,yes,?,AIT Aurora,
Aurukun Shire Council,AURUKUN SHIRE,qld,no,,AIT Aurora,
Balonne Shire Council,BALONNE SHIRE,qld,no,4,AIT Aurora,
Banana Shire Council,BANANA SHIRE,qld,yes,3,AIT Aurora,
Barcaldine Regional Council,BARCALDINE REGIONAL,qld,no,?,AIT Aurora,
Barcoo Shire Council,BARCOO SHIRE,qld,no,?,AIT Aurora,
Blackall-Tambo Regional Council,BLACKALL TAMBO REGIONAL,qld,no,?,AIT Aurora,
Bulloo Shire Council,BULLOO SHIRE,qld,yes,3,AIT Aurora,
Burke Shire Council,BURKE SHIRE,qld,no,4,AIT Aurora,
Carpentaria Shire Council,CARPENTARIA SHIRE,qld,no,?,AIT Aurora,
Central Highlands Regional Council,CENTRAL HIGHLANDS REGIONAL,qld,no,4,AIT Aurora,
Charters Towers Regional Council,CHARTERS TOWERS REGIONAL,qld,no,4,AIT Aurora,
Cherbourg Aboriginal Shire Council,CHERBOURG ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Cloncurry Shire Council,CLONCURRY SHIRE,qld,no,?,AIT Aurora,
Cook Shire Council,COOK SHIRE,qld,yes,4,AIT Aurora,
Croydon Shire Council,CROYDON SHIRE,qld,no,?,AIT Aurora,
Diamantina Shire Council,DIAMANTINA SHIRE,qld,no,?,AIT Aurora,
