For more information please select the following link http://www.libraries.vic.gov.au,,,,
LAT,LONG,Suburb/Town,Address,Phone
,,,,
-37.18961447,145.7081915,Alexandra,Grant Street  Alexandra  3714,5772 0349
-37.869153,144.8290721,Altona,123 Queen Street  Altona  3018,9932 1330
-37.87386228,144.7726799,Altona Meadows,2 Newham Way  Altona Meadows  3025,9932 3020
-37.2891,142.91094,Ararat,Barkly Street  Ararat  3377,5352 1722
-37.77402158,144.9155657,Ascot Vale,165 Union Road  Ascot Vale  3032,8325 1990
-37.86323577,145.0768989,Ashburton,154 High Street  Ashburton  3147,9278 4633
-37.10880966,143.3583156,Avoca,122 Main St  Avoca  3467,5465 3204
-37.67568108,144.4364085,Bacchus Marsh,Main Street  Bacchus Marsh  3340,5367 2533
-37.82551789,147.6288324,Bairnsdale,22 Service Street  Bairnsdale  3875,5152 4225
-37.56919583,143.8534284,Ballarat,178 Doveton Street N  Ballarat  3350,5331 1211
-37.81352265,145.085528,Balwyn,336 Whitehorse Road  Balwyn  3103,9278 4644
-35.95630071,144.9910538,Barham,25 Noorong Street  Barham  2732,5453 2642
-38.28137,144.487042,Barwon Heads,Golf Links Road  Barwon Heads  3227,5254 2143
-37.42949937,143.382116,Beaufort,72 Neill St  Beaufort  3373,5349 2808
-37.98180541,145.0337148,Beaumaris,96 Reserve Road  Beaumaris  3193,9599 4368
-36.36184,146.68917,Beechworth,Corner Albert Rd & Harper Ave  Beechworth  3747,5728 3092
-37.90894,145.35256,Belgrave,Reynolds Lane  Belgrave  3160,9754 7266
-38.17452655,144.3435636,Belmont,163 High Street  Belmont  3216,5243 2655
-36.550896,145.982883,Benalla,Nunn Street  Benalla  3672,5762 2069
-36.75910695,144.2818943,Bendigo,259 Hargreaves Street  Bendigo  3550,5449 2700
-37.91958552,145.041327,Bentleigh,161 Jasper Road  Bentleigh  3204,9557 8278
-35.9933638,142.9255684,Birchip,Community Education Complex  Campbell Street  Birchip  3483,03 5492 2230
-37.82169492,145.1522567,Blackburn,Cnr Blackburn & Central Roads  Blackburn  3130,9878 6851
-37.86382,145.28449,Boronia,Park Crescent  Boronia  3155,9762 4099
-37.81834525,145.1267976,Box Hill,1040 Whitehorse Road  Box Hill  3128,9890 1002
-36.72934833,146.9611615,Bright,Ireland Street  Bright  3741,5755 1540
-37.91087399,144.997607,Brighton,14 Wilson Street  Brighton  3186,9591 5900
-37.20350566,145.0471688,Broadford,10/29 Powlett Street  Broadford  3658,5784 3357
-37.77191,144.961131,Brunswick,Corner of Sydney Road and Dawson Street  Brunswick  3056,9389 8600
-37.76587,145.09179,Bulleen,Bulleen Plaza  Manningham Road  Bulleen  3105,9852 2288
-37.83498667,145.0589637,Camberwell,25 Inglesby Road  Camberwell  3124,9278 4655
-37.75444878,144.9458868,Campbell Turnbull Library,220 Melville Road  Campbell Turnbull Library  3055,9384 9200
-38.23135423,143.1458382,Camperdown,212 Manifold Street  Camperdown  3260,5593 2356
-37.78951849,144.9715862,Carlton,667 Rathdowne Street  Carlton  3054,1300 695 427
-37.88744034,145.0582785,Carnegie,7 Shepparson Avenue  Carnegie  3163,9563 0971
-38.10867319,145.179497,Carrum Downs,203 Lyrebird Drive  Carrum Downs  3201,9782 0418
-37.5847154,141.4054372,Casterton,67 Henty Street  Casterton  3311,03-5581 1102
-37.063598,144.217299,Castlemaine,Barker Street  Castlemaine  3450,5472 1458
-37.8800209,145.02291,Caulfield,Cnr Glen Eira & Hawthorn Roads  Caulfield  3162,9532 9466
-38.05060886,145.1161004,Chelsea,1 Chelsea Road  Chelsea  3196,1300 135 668
-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668
-36.151392,146.612262,Chiltern,Conness Street  Chiltern  3683,5726 1874
-38.15708783,144.3467352,Chilwell,51 Russell Street  Chilwell  3220,5221 5129
-38.31054,146.42507,Churchill,McDonald Way  Churchill  3842,03 5122 2723
-37.83478331,144.962147,Cinemedia,222 Park Street  Cinemedia  3205,9929 7040 or 1800 803 758
-37.81694088,144.9658414,City Library,253 Flinders Lane  Melbourne  City Library  3000,9658 9500
-37.94047325,145.1021123,Clarinda,58 Viney Street  Clarinda  3169,1300 135 668
-37.92678,145.11851,Clayton,Cooke Street  Clayton  3168,9544 0668
-37.29333,143.78688,Clunes,Fraser Street  Clunes  3370,5345 3359
-38.32700989,143.0772248,Cobden,55 Victoria Street  Cobden  3266,5595 1228
-35.91348,145.65402,Cobram Secondary College Community,Warkil Street  Cobram Secondary College Community  3644,5872 2213
-37.74325,144.96533,Coburg,Cnr Victoria & Louisa Streets  Coburg  3058,9353 4000
-35.80517,144.21718,Cohuna,King Edward Street  Cohuna  3568,5456 2124
-38.34310049,143.585279,Colac,105 Gellibrand Street  Colac  3250,5231 4613
-36.59587551,144.7739969,Colbinabbin,Colbinabbin  Colbinabbin  3559,5482 1997
-37.80443139,144.9930806,Collingwood,11 Stanton Street  Abbotsford  Collingwood  3067,1300 695 427
-38.0842,144.35571,Corio,Cox Road  Corio  3214,5275 2388
