long_name,name,state,fines,standard_loan_weeks,ILS,website,
Libraries ACT,ACT,act,no,4,Civica Spydus,https://www.library.act.gov.au,
Albury City Libraries,Albury,nsw,yes,?,Libero,https://www.alburycity.nsw.gov.au/leisure/museum-and-libraries,
Armidale Regional Library,Armidale Regional,nsw,?,?,Libero,https://www.armidaleregional.nsw.gov.au/community/arts-and-culture/libraries,
Balranald Library,Balranald,nsw,yes,2,DECD Bookmark,http://www.balranald.nsw.gov.au/council-activities/library/,
Bathurst Library,Bathurst Regional,nsw,yes,4,Civica Spydus,https://www.bathurst.nsw.gov.au/library.html,
Bayside Library,Bayside_nsw,nsw,yes,3,AIT Aurora,https://library.bayside.nsw.gov.au/resources/LocationsandHours.aspx#,
Bega Valley Shire Library,Bega Valley,nsw,no,4,Libero,https://library.begavalley.nsw.gov.au,
Berrigan Shire Library Service,Berrigan,nsw,yes,2,Libero,https://www.berriganshire.nsw.gov.au/library,
Big Sky Libraries,Big Sky,nsw,yes,4,Civica Spydus,https://bsl.nsw.gov.au/elibrary,
Blacktown City Libraries,Blacktown,nsw,no,3,Civica Spydus,https://www.blacktown.nsw.gov.au/Services/Libraries/Locations-and-hours,
Blue Mountains City Library,Blue Mountains,nsw,no,3,SirsiDynix Symphony,https://library.bmcc.nsw.gov.au/client/en_AU/default,
Bourke Public Library,Bourke,nsw,no,2,Libero,https://www.bourkelibrary.com.au/home,
Broken Hill City Library,Broken Hill,nsw,no,6,Libero,https://www.brokenhill.nsw.gov.au/Facilities/Library,
Burwood Library,Burwood,nsw,no_unconfirmed,3,Civica Spydus,https://www.burwood.nsw.gov.au/For-Residents/Burwood-Library,
Camden Council Libraries,Camden,nsw,yes,3,Civica Spydus,http://www.library.camden.nsw.gov.au/,
Campbelltown City Library Service,Campbelltown (NSW),nsw,no,3,Libero,https://www.campbelltown.nsw.gov.au/ServicesandFacilities/Libraries,
City of Canada Bay Library Service,Canada Bay,nsw,adults,3,Civica Spydus,https://www.canadabay.nsw.gov.au/libraries,
Canterbury-Bankstown Library ,Canterbury-Bankstown,nsw,yes,3,Libero,https://www.cbcity.nsw.gov.au/community/library-knowledge-centres/locations-memberships,
Central Coast Libraries,Central Coast,nsw,no,3,Libero,https://www.centralcoast.nsw.gov.au/libraries,
Central Murray Regional Library,Central Murray,nsw,?,?,Libero,https://cmrl.edwardriver.nsw.gov.au,
Central Northern Regional Library,Central Northern,nsw,no,3,Civica Spydus,https://cnrl.spydus.com/cgi-bin/spydus.exe/MSGTRNGEN/WPAC/ABOUTCNRL,
Central West Libraries,Central West,nsw,yes,4,Civica Spydus,http://www.cwl.nsw.gov.au/about-cwl/,
Cessnock City Library,Cessnock,nsw,no_unconfirmed,?,Civica Spydus,https://www.cessnock.nsw.gov.au/Things-to-do/Arts-culture/Libraries,
Clarence Regional Library Service,Clarence Regional,nsw,yes,4,Civica Spydus,https://www.crl.nsw.gov.au/,
Cobar Shire and TAFE Library,Cobar,nsw,?,4,Libero,https://www.cobar.nsw.gov.au/community-services/library,
Coffs Harbour City Library and Information Service,Coffs Harbour,nsw,no,4,Civica Spydus,https://libraries.coffsharbour.nsw.gov.au/About-Us/Pages/Location-and-Hours.aspx,
