lat,lng,town,address,phone
-35.5574374,138.6107874,Victor Harbor Public Library Service, 1 Bay Road, 08 8551 0730
-35.3310245,140.5208524, Lameroo School Community Library, 1 Bews Terrace, 08 8576 3040
-34.9338609,138.5615464, Hamra Centre Library, 1 Brooker Terrace, 08 8416 6228
-35.2567951,138.8900442, Strathalbyn Branch, 1 Colman Terrace, 08 8555 7000
-34.9917904,138.5554934, Park Holme Branch, 1 Duncan Avenue, 08 8375 6745
-34.4571455,138.9269235, Greenock Depot, 1 Greenock Road, 08 8562 8308
-34.853432,138.6016327, Enfield Branch, 1 Kensington Crescent, 08 8405 6530
-35.0770605,138.5187486, Cove Civic Centre Branch, 1 Ragamuffin Drive, 08 8375 6755
-34.7181088,138.6710009, Elizabeth (Playford Civic) Branch, 10 Playford Boulevard, 08 8256 0333
-34.950787,138.589928, Goodwood Branch, 101 Goodwood Road, 08 8372 5166
-34.9107624,138.6262473, St Peters Branch, 101 Payneham Road, 08 8334 0200
-35.501828,138.782462, Goolwa Branch, 11 Cadell Street, 08 8555 7000
-35.2770374,138.4609897, Aldinga Branch, 11 Central Way, 08 8384 0022
-34.921677,138.631676, Norwood Branch, 110 The Parade, 08 8366 4546
-33.602877,137.933199, Port Broughton Area School Community Library, 12 East Terrace, 08 8635 2863
-34.7732777,139.0516393, Mount Pleasant Branch, 130-132 Melrose Street, 08 8563 8304
-34.9057666,138.5735308, Hindmarsh Branch, 139 Port Road, 08 8408 1333
-33.2671201,138.355463,Flinders Mobile Library Service, 14 Fifth Street, 08 8662 2305 (Truck 0428 622 305)
-34.4232321,137.916833, Ardrossan School Community Library, 14 Second Street, 08 8837 4134
-34.8388812,138.4812847, Semaphore Branch, 14 Semaphore Road, 08 8405 6570
-34.972845,138.60873, Mitcham Branch, 154 Belair Road, 08 8372 8244
-36.9547601,140.7457651, Naracoorte Public Library Service, 165 Smith Street, 08 8762 2338
-34.8879662,138.6784234,Campbelltown Public Library Service, 171 Montacute Road, 08 8366 9299
-34.9334759,138.5922466, South West Community Centre Branch, 171 Sturt Street, 08 8203 7990
-35.113794,138.5462627, Woodcroft Branch, 175 Bains Road, 08 8384 0050
-34.9062159,138.5938613, Tynte St North Adelaide Branch, 176 Tynte Street, 08 8203 7990
-34.9507029,138.6079406, Unley Civic Branch, 181 Unley Road, 08 8372 5100
-34.084461,138.782724, Saddleworth Library & Community Centre Branch, 19 Belvidere Road, 08 8847 4096
-33.961893,137.708989, Kadina Library, 1a Doswell Terrace, 08 8821 0444
-34.1818343,139.9864914, Waikerie Branch, 1A Strangman Road, 08 8541 0720
-34.979774,138.512106, Glenelg Branch, 2 Colley Terrace, 08 8179 9555
-34.870195,138.637401, Greenacres Branch, 2 Fosters Road, 08 8405 6540
-34.7233723,135.8657465,Port Lincoln Library Service, 2 London Street, 08 8621 2345
-34.766591,137.5934372, Minlaton School Community Library, 2 North Terrace, 08 8853 2339
-34.1805249,139.091567, Eudunda School Community Library, 2 Reserve Road, 08 8581 1587
-34.8922001,138.6409802, Payneham Branch, 2 Turner Street, 08 8336 0333
-34.8473859,138.5034747, Port Adelaide Branch, 2-4 Church Street, 08 8405 6580
-34.810949,138.617382, Mawson Lakes Branch, 2-8 Main Street, 08 8302 5555
-35.0166649,138.5200905, Brighton Branch, 20 Jetty Road, 08 8229 9988
-35.018116,138.616518, Blackwood Branch, 215 Main Road, 08 8372 8255
-34.9334595,138.6120337, Hutt St Branch, 235 Hutt Street, 08 8203 7990
-34.451336,140.5700918, Loxton Branch, 25A East Tce, 08 8584 8051
-34.953986,138.8751, Woodside Branch, 26 Onkaparinga Valley Road, 08 8408 0420
-35.013241,138.543579, Cultural Centre Library (Oaklands Park), 287 Diagonal Road, 08 8375 6785
-34.6010595,138.8910414, Lyndoch Branch, 29 Barossa Valley Way, 08 8563 8305
-34.4381918,138.510987, Mallala Branch, 2A Wasleys Road, 08 8520 2100
-33.181797,138.011483, Port Pirie Branch, 3 Wandearah Road , 08 8632 1649
-34.6694633,138.6804836, Stretton Centre Branch, 307 Peachey Road, 08 8256 0333
-33.83336,138.612747, Clare Branch, 33 Old North Road, 08 8842 3817
-34.76313,138.645767,Community Hub Branch, 34 Church Street, 08 8406 8222
-34.9169533,138.4936819, Henley Beach Branch, 378 Seaview Road, 08 8408 1333
-34.252234,140.464139, Barmera Public Library Service, 4 Barwell Avenue, 08 8588 2872
-32.4908683,137.7640513,Port Augusta Library Service, 4 Mackay Street, 08 8641 9151
-34.93857,138.643514,Burnside Library Service, 401 Greenhill Rd, 08 8366 4280
-34.9572993,138.6252624, Fullarton Park Depot, 411 Fullarton Road, 08 8372 5180
-37.3754931,140.8432899, Penola School Community Library, 43 Cameron Street, 08 8737 2838
-35.655875,137.638622, Kingscote Branch, 43 Dauncey Street, 08 8553 4500
-34.597264,138.750219,Gawler Administration Centre Branch, 43 High Street, 08 8522 9211
-34.4814733,138.9925948, Nuriootpa Branch, 43-51 Tanunda Road, 08 8563 8440
-34.8219843,138.8864079, Gumeracha Branch, 45 Albert Street, 08 8408 0420
-36.836604,139.857566, Kingston Community School Library, 46 East Terrace, 08 8767 2677 / 8767 3003
-34.858454,138.556706, Parks Branch, 46 Trafford St, 08 8405 6550
-38.0523917,140.6990194, Port MacDonnell (Mary Lattin Memorial) Library Service, 5 Charles Street, 08 8738 3015
-35.0689893,138.855043,Mount Barker Community Library, 5 Dumas Street, 08 8393 6400
-33.930392,137.6245596, Wallaroo Library, 5 John Terrace, 08 8823 2924
-34.340787,138.915199, Kapunda Branch, 51 – 53 Main Street, 08 8525 3290
-36.310876,140.772949, Bordertown Public Library Service, 55 Woolshed Street, 08 8752 1473
-34.828442,138.690044,Tea Tree Gully Library Service, 571 Montague Road, 08 8397 7333
-34.026613,138.6830418, Auburn Branch, 6 St Vincent Street, 08 8849 2414
-37.8298732,140.7806671,Mount Gambier Library Service, 6 Watson Terrace, 08 8721 2540
-34.5940543,138.5143256, Two Wells Branch, 61 Old Port Wakefield Road, 08 8520 2100
-35.0055184,138.7177228, Coventry Stirling Branch, 63 Mt Barker Road, 08 8408 0420
-34.6244282,138.7195078, Evanston Gardens Branch, 65 Angle Vale Road, 08 8522 0123
-34.8976203,138.6144543,Walkerville Public Library Service, 66 Walkerville Terrace, 08 8342 7150
-34.5248283,138.9589947, Tanunda Branch, 66-68 Murray Street, 08 8561  8499
-33.1363825,136.4199006, Kimba School Community Library, 69 West Terrace, 08 8627 2510
-33.6789163,138.9381225, Burra School Community Library, 7 Bridge Terrace, 08 8892 2038
-34.45423,138.8103128, Freeling Depot, 7 Hanson Street, 08 8525 3240
-33.028868,137.533861,Whyalla Public Library Service, 7-9 Ekblom Street, 08 8645 7891
-34.8787663,138.537932, Civic Woodville Branch, 72 Woodville Road, 08 8408 1333
